screen_name,day,text,month,party,topics,triggering_event,analytical_notes,likely_context
elicoh1,06/02/2021,"""מקום המשפט שמה הרשע""  החלטת בין הדין בהאג לפתוח בחקירה כנגד ישראל היא תוצאה של אנטישמיות, מוסר כפול, ושקרים.  חבל שבמקום לטפל בדיקטטור הסורי שרוצח את בני עמו, או בשלטון הטרור בטהרן, הם פועלים דווקא נגד הדמוקרטיה היחידה במזרח התיכון והצבא המוסרי בעולם.",Feb-21,Likud,"?betrayal, ?people_centrism, ?security",ICC announces investigation of Israel for war crimes,International pressure; unifying issue across right-wing,ICC announces investigation of Israel for war crimes
GilaGamliel,06/02/2021,"ההחלטה ההזויה של בית הדין בהאג עומדת לצד האנטישמיות ושלטונות הרשע של סוריה ואיראן, ופועלת מתוך מוסר כפול נגד מדינת ישראל.   במקום שהתובעת הראשית תגן על הצדק - היא בוחרת להפיץ שקרים, לנגח אותנו פוליטית ולנסות לפגוע בכוחות הביטחון.   יחד, נגן על חיילי צה״ל ונחזק את ההתיישבות! https://t.co/89LI1yze7w",Feb-21,Likud,"?betrayal, ?security",ICC announces investigation of Israel for war crimes,International pressure; unifying issue across right-wing,ICC announces investigation of Israel for war crimes
zoharm7,08/02/2021,"ראש הממשלה, עם ישראל מאחוריך. מיליוני מצביעי הליכוד והימין מחזקים אותך ובע""ה יתנו לך שוב את הקול בקלפי.  רק הציבור יקבע מי ינהיג אותו! (צילום: אורן בן חקון) https://t.co/HeujsKxAEk",Feb-21,Likud,"people_centrism, trial",Netanyahu trial resumes; rally outside courthouse,Trial as delegitimization frame: judicial persecution of elected leader,Netanyahu trial resumes; rally outside courthouse
GolanMay,08/02/2021,"היום אנו ניצבים לא מאחורי רה״מ כמו בפעם הקודמת, אלא מלפניו ואומרים לו: מיליוני אזרחי ישראל איתך ומחזקים את ידך! בע״ה נקים בקרוב ממשלה של המחנה הלאומי ונוכיח שהעם הוא הריבון ולא שופטים מנותקים או פקידים אובססיבים שלא מוכנים לקבל את הכרעת הבוחר ורודפים את רה״מ שנבחר שוב ושוב ושוב.",Feb-21,Likud,"people_centrism, trial",Netanyahu trial resumes; rally outside courthouse,Trial as delegitimization frame: judicial persecution of elected leader,Netanyahu trial resumes; rally outside courthouse
ettyatia,08/02/2021,"מיליוני אזרחי ישראל מחזקים היום את ידי ראש הממשלה, שלא נכנע ולו לרגע אחד אל מול רדיפה בלתי פוסקת של המערכת המשפטית. השמאל לא מצליח לעכל את ההצלחות וההישגים ההיסטוריים שמביא הימין, ומנסה להפיל מנהיג נבחר דרך חקירות ומשפטים. &gt;&gt; https://t.co/h4xw8eW2dK",Feb-21,Likud,"people_centrism, trial",Netanyahu trial resumes; rally outside courthouse,Trial as delegitimization frame: judicial persecution of elected leader,Netanyahu trial resumes; rally outside courthouse
ettyatia,08/02/2021,"אני מאמינה בחפותו של ראש הממשלה, ובטוחה שבבחירות הקרובות גם הציבור יאמר את דברו. רק ממשלת ימין תשים סוף לשלטון הפקידים והמשפטנים, ותוביל את ישראל ליציאה מהירה מהמשבר, לשגשוג לביטחון ולשלום.",Feb-21,Likud,"people_centrism, deep_state, trial",Netanyahu trial resumes; rally outside courthouse,Trial as delegitimization frame: judicial persecution of elected leader,Netanyahu trial resumes; rally outside courthouse
ofir_sofer,08/02/2021,אירוע רודף אירוע והמדינה שבתוך המדינה פועלת באין מפריע. תוהה מתי צלצול ההשכמה יהיה מספיק חזק בשביל שנשים סוף לכיבוש הבדואי בנגב. https://t.co/y9vjesydeB,Feb-21,Religious Zionism,"governance, exclusion",Netanyahu trial resumes; rally outside courthouse,Trial as delegitimization frame: judicial persecution of elected leader,Netanyahu trial resumes; rally outside courthouse
bezalelsm,08/02/2021,אם זה לא היה עצוב היינו צוחקים... אבדן הריבונות והמשילות של המדינה אל מול כנופיות הבדווים בנגב זה איום אסטרטגי שדורש מענה כולל ורציני. כשהקמנו את רגבים הזהרנו שאם המדינה לא תפעל מהר מאוד לשם זה יגיע. למרבה הצער צדקנו. עכשיו הגיע הזמן לטפל. ומוטב מאוחר מלעולם לא. https://t.co/Hmg5farAQT,Feb-21,Religious Zionism,"governance, exclusion",Netanyahu trial resumes; rally outside courthouse,Trial as delegitimization frame: judicial persecution of elected leader,Netanyahu trial resumes; rally outside courthouse
ayoobkara,10/02/2021,"הפוסל במומו פוסל הצביעות של השמאל שוברת שיאים כל פעם מחדש. ההתקפות של לפיד וחבריו על הסכם העודפים של הליכוד עם מפלגת הציונות הדתית צביעות שזועקת לשמיים   לפיד רצה להקים ממשלה בישראל עם אנשים שמסיתים נגד חיילי צה""ל ותומכי שהידים רוצחי ישראלים   מי שיש לו חמאה על הראש שלא יצא לשמש",Feb-21,Likud,elite_delegitimization,,,Coalition agreement disputes over COVID response
zoharm7,10/02/2021,"כל מי שעושה קמפיין פוליטי על גבם של הנפטרים ממחלת הקורונה, לא ראוי להנהגת המדינה. אפילו מסוכן.  עשינו ועודנו עושים הכל על מנת למנוע מוות מיותר וכדי לשמור על בריאות הציבור למרות התנגדות אוטומטית של לפיד והאופוזיציה ושל האופוזיציה בתוך הקואליציה של כחול לבן.   בע״ה יחד ננצח את זה.",Feb-21,Likud,covid,,,Coalition agreement disputes over COVID response
SharrenHaskel,10/02/2021,"ממשלה שלא יודעת לשמור ולהגן על ההיסטוריה והמורשת שלנו לא ראויה ליום אחד נוסף! כל אחד ואחת מהשרים שותף לפשע הנורא בהשמדת פיסת היסטוריה בת אלפי שנים! ב-23 למרץ נחליף אתכם ונדאג להגן על המדינה, הכלכלה והמורשת של עם ישראל. https://t.co/kt0Xm9WOG8",Feb-21,Likud,"?delegitimization, ?economy, ?identity",,,Coalition agreement disputes over COVID response
SharrenHaskel,11/02/2021,"נכשלת, ממשלה שלא יודעת לשמור ולהגן על ההיסטוריה והמורשת שלנו לא ראויה ליום אחד נוסף! כל אחד ואחת מהשרים שותף לפשע הנורא בהשמדת פיסת היסטוריה בת אלפי שנים! ב-23 למרץ נחליף אתכם ונדאג להגן על המדינה, הכלכלה והמורשת של עם ישראל. https://t.co/VGmp8Xd0aO",Feb-21,Likud,"?delegitimization, ?economy, ?identity",,,Coalition agreement disputes over COVID response
DayanUzi,14/02/2021,"דברי הבל על ימי אבל! ח""כ אבידר, עכשיו אתה מסוכן לא רק לשלום הציבור אלא גם לבריאות הציבור! עד שלא תתחסן  לא ניתן שתגיע לדיון בכנסת בלי אישור לתוצאה  שלילית לבדיקת קורונה. ככה יעשה לאיש המסוכן הזה! https://t.co/ADF7S3djgd",Feb-21,Likud,?covid,,,Domestic violence/women safety concerns (AG)
netanyahu,15/02/2021,צפו: תכירו את האנטי ציונים שישרתו בממשלה של לפיד אם תבזבזו קולות ימין על גדעון ובנט.   רק הליכוד יקים ממשלת ימין על-מלא ללא רוטציה. https://t.co/d0TEsfXy1c,Feb-21,Likud,elite_delegitimization,Netanyahu campaign attacks Bennett-Lapid alliance possibility,Pre-election rhetoric intensifies,Netanyahu campaign against Bennett-Lapid alliance
bezalelsm,15/02/2021,"כשהקמנו את @TnuatRegavim לפני 15 שנה צעקנו שאבדן המשילות מול הבדווים בנגב לא יישאר רק בתחום הבב""ח וגניבת הקרקעות אלא יתפשט לעוד מרחבים, יהפוך את הנגב למדינה בתוך מדינה ואת החיים של תושביו היהודים לבלתי אפשריים. היום בסיסי צה""ל נבזזים וילדה בת 10 נאנסת בביתה ועולם כמנהגו נוהג.&gt;&gt;&gt;",Feb-21,Religious Zionism,"governance, exclusion",Netanyahu campaign attacks Bennett-Lapid alliance possibility,Pre-election rhetoric intensifies,Netanyahu campaign against Bennett-Lapid alliance
bezalelsm,15/02/2021,"על נהיגה פראית, על גידול ויבוא וסחר בסמים, על סחיטת דמי חסות, על גניבה וסחר באמצעי לחימה, על פוליגמיה, על התפרצות ועבריינות מין, ועוד. יש לערוך הבחנה ברורה בין האוכלוסייה הבדווית הנורמטיבית ולהסדיר את מגוריה לבין המיעוט הלאומני והעברייני שיתקל באגרוף ברזל של אכיפה חסרת פשרות.&gt;&gt;&gt;",Feb-21,Religious Zionism,"governance, exclusion",Netanyahu campaign attacks Bennett-Lapid alliance possibility,Pre-election rhetoric intensifies,Netanyahu campaign against Bennett-Lapid alliance
GolanMay,15/02/2021,"תומכי הטרור בכנסת רוצים שמדינת ישראל תבצע מחווה הומניטרית ותעביר חיסונים לתומכי הטרור בעזה. לפני אותה מחווה, הגיע הזמן שארגון הטרור שהם תומכים בו יחזיר את הבנים אורון שאול והדר גולדין הביתה. זה המעט שאנחנו יכולים לעשות עבור אותן משפחות שאיבדו את היקר להן מכל &gt;&gt;",Feb-21,Likud,elite_delegitimization,Netanyahu campaign attacks Bennett-Lapid alliance possibility,Pre-election rhetoric intensifies,Netanyahu campaign against Bennett-Lapid alliance
netanyahu,16/02/2021,"לא יתכן שפוליטיקאים חסרי אחריות, בירוקרטים ויועצים משפטיים, יתייצבו נגד העם ולא יתנו לנו להביא לאזרחים סיוע כלכלי. אנחנו בעד העם, אנחנו נביא לכם את הכסף ולא נפסיק להילחם בשבילכם. https://t.co/zy7NWA3MkS",Feb-21,Likud,"covid, deep_state, people_centrism","The tweet directly stems from a contentious cabinet meeting and a one-on-one discussion between Netanyahu and Gantz on February 16. Netanyahu proposed an expansive economic aid package, including direct cash grants of up to ₪750 (about $230) per adult and ₪500 ($150) per child for all Israeli families—totaling around ₪6.5 billion ($2 billion). He framed it as urgent relief to stimulate the economy and support citizens hit by lockdowns. Gantz opposed the blanket handouts, calling them ""electoral bribery"" and ""vote-buying"" tactics ahead of the March elections. He advocated for targeted aid focused on low-income families, the unemployed, and struggling businesses, arguing that universal payments were fiscally irresponsible and would waste resources on those not in need.",Netanyahu proposed universal cash grants; Gantz called it vote-buying,Economic aid dispute (Netanyahu vs Gantz)
bezalelsm,17/02/2021,"חמש עשרה שנה, מאז שהקמתי את רגבים, אני מתריע על אובדן הריבונות והמשילות של המדינה מול הבדווים בנגב. כשהוקמה הממשלה האחרונה הפצרתי ב @netanyahu לא להפקיר את הנגב בידי עמיר פרץ. לצערי הוא לא הקשיב ואת התוצאות אנחנו רואים כולנו. בממשלה הבאה ניקח את זה לידיים שלנו ונטפל. יש איך. https://t.co/e3RzRSpSHS",Feb-21,Religious Zionism,"governance, exclusion",,,Bedouin governance and settlement issues
elicoh1,22/02/2021,"אין חדש תחת השמש. במקום להציל חיים, הפלסטינים מעודדים טרור. בכסף שהם שילמו למחבלים הם היו יכולים לחסן את כל התושבים שלהם, אבל זה לא יפריע ליפי הנפש לדרוש שנחלק להם חיסונים על חשבון אזרחי ישראל. https://t.co/QNQZ0l7wGf",Feb-21,Likud,"?security, ?terror_framing",,,Palestinian vaccination access debate
bezalelsm,22/02/2021,"מדינת ישראל היא מדינה יהודית. כדי להישאר כזו היא צריכה מדיניות הגירה שתשמר את הרוב היהודי בה. פרסמנו היום את הפרק של מדיניות ההגירה בתכנית המאה של הציונות הדתית. התכנית כוללת את הוצאת המסתננים ושיקום השכונות, ביטול סעיף הנכד וחוק הדרכונים של ליברמן, ועוד. מוזמנים לקרוא. https://t.co/CokknBET4e",Feb-21,Religious Zionism,"immigration, identity",,,Palestinian vaccination access debate
netanyahu,24/02/2021,"הבאנו תוכנית סיוע ענקית לכל אזרחי ישראל. פוליטיקאים חסרי אחריות והיועצים המשפטיים מונעים מאיתנו להביא לכם את הכסף.   אנחנו נלחמים למענכם, אבל אם הם ימשיכו לעצור אותנו אני אעביר 15 מיליארד שקל כסיוע כלכלי ביום הראשון של הממשלה הבאה בהנהגתנו. https://t.co/NGWkhVZe56",Feb-21,Likud,"covid, deep_state, people_centrism","The tweet directly stems from a contentious cabinet meeting and a one-on-one discussion between Netanyahu and Gantz on February 16. Netanyahu proposed an expansive economic aid package, including direct cash grants of up to ₪750 (about $230) per adult and ₪500 ($150) per child for all Israeli families—totaling around ₪6.5 billion ($2 billion). He framed it as urgent relief to stimulate the economy and support citizens hit by lockdowns. Gantz opposed the blanket handouts, calling them ""electoral bribery"" and ""vote-buying"" tactics ahead of the March elections. He advocated for targeted aid focused on low-income families, the unemployed, and struggling businesses, arguing that universal payments were fiscally irresponsible and would waste resources on those not in need.",Continuation of economic aid dispute with Gantz/AG blocking,Economic aid continuation dispute
regev_miri,24/02/2021,הגעתי לאזור שבו אירע הבוקר ניסיון הפיגוע בצעיר תושב יצהר - כדי לחזק את התושבים. רק ממשלת ימין על מלא תחיל את הריבונות דה פקטו ותביא מיליון תושבים לשומרון&gt;&gt;&gt; https://t.co/17iGajl7sF,Feb-21,Likud,"?governance, ?security",Netanyahu renews COVID economic aid promise for post-election,Continuation of economic aid dispute with Gantz/AG blocking,Economic aid continuation dispute
YoavKisch,25/02/2021,את התוכנית הכלכלית להצלת עסקים גנץ ומנדלבליט עוצרים. עכשיו הם פוגעים בהישג מדיני שמחזק את בנות בריתינו רק בשביל לפגוע בנתניהו. השלב הבא שיעצרו את מבצע החיסונים מכיוון שזה מהלך של נתניהו ויטענו שזה מחזק את הליכוד בתקופת בחירות. די. ב23.3 אפשר לשים לזה סוף ולהקים ממשלת ימין על מלא. https://t.co/g2gjYRtBD8,Feb-21,Likud,"covid, deep_state, people_centrism",,,Settler attack; coalition governance issues
shlomo_karhi,26/02/2021,"בין פורים לבין חודש הגאולה, לא יעזור לאף אחד. לא הפרשנים ולא החמוצים. הם ימשיכו לתת תחזיות קודרות ואנחנו נדאג להגיע בנערינו ובזקנינו עם חברים ומכרים ולממש את ההזדמנות ההיסטורית להקים כאן ממשלת ימין על מלא: ""ליהודים היתה אורה ושמחה"".  לפוסט:https://t.co/EsHXAnvHMb  פורים שמח🥳 https://t.co/EQiqeoBgnx",Feb-21,Likud,,,,Banking sector and identity issues
shlomo_karhi,27/02/2021,"מדהים! כמה צחקו כשאמרנו שליברמן הוא שמאל על מלא...  אין יותר שמאל ממי שמתנגד לחוק הלאום. איווט, השנאה מעבירה אותך על דעתך ועל דעת קונך.  ליברמן, לעולם לא נחזור להיות ""עם אחד מפוזר ומפורד בין העמים""...יש לנו את מדינת ישראל והיא לנצח תהיה מדינת הלאום של העם היהודי. על אפך ועל חמתך! https://t.co/ysJFxa0UGv",Feb-21,Likud,?identity,,,Ultra-Orthodox mobilization; Haredi-secular divide
bezalelsm,27/02/2021,זה חלק מקמפיין שקרי ומתוכנן נגד הימין והמחנה הלאומי שבאופן טבעי כולל את החרדים. הקמפיין הזה מבוסס על עריכת דה-מוניזציה לחרדים ועל גבי זה טענה שהימין נכנע להם. שיטה קבועה של השמאל לסכסך בין האוכלוסיות השונות בישראל ולגרוף על זה הון פוליטי.&gt;&gt;&gt;,Feb-21,Religious Zionism,"?betrayal, ?identity",,,Ultra-Orthodox mobilization; Haredi-secular divide
shitrit_keti,27/02/2021,"חרף ההגבלות והעוצר הלילי,מסיבות פורים רבות משתתפים התקיימו בסוף השבוע,בניגוד להנחיות הממשלה.את קולם של לפיד וחבריו לשמאל שיודעים לבקר הפרות השכם וערב,לא נשמע. ההנחיות אינן פוליטיות ונועדו לשמור על בריאות הציבור.מבקשת לשמור על ההנחיות ולצאת להתחסן למען בריאותם של כלל אזרחי המדינה. https://t.co/sOsVj15f62",Feb-21,Likud,,,,Ultra-Orthodox mobilization; Haredi-secular divide
GolanMay,27/02/2021,"שום דבר כבר לא מפתיע באיש המוזר והתמהוני הזה שנקרא אביגדור ליברמן. כבר יותר משנתיים שהוא עסוק בשיסוי והסתה נגד חרדים והטרלת המערכת הפוליטית. פעם ימין, פעם שמאל, פעם מרכז, העיקר רק לא ביבי! עכשיו הוא יוצא נגד חוק הלאום החשוב והצודק שהוא עצמו הצביע בכלל בעדו! באמת כבר נגמרו המילים. https://t.co/GobFTkJxDb",Feb-21,Likud,"?deep_state, ?identity",,,Ultra-Orthodox mobilization; Haredi-secular divide
bezalelsm,28/02/2021,"המראה של אלפים צועדים ברגל לירושלים הוא פשוט חרפה.  חוסר ההבנה של הצרכים של הציבור החרדי היא רעה חולה, זעקתי על זה לאורך כל השנה האחרונה, באלימות המשטרתית, באירועי אומן, במתווה החתונות שביקשתי לאשר תחת מגבלות ועכשיו זה קורה גם בפורים.  &gt;&gt;&gt; https://t.co/9TReebiqTK",Feb-21,Religious Zionism,"?identity, ?police",,,Haredi religious minority restrictions
GolanMay,28/02/2021,שידור ציבורי למסתננים הבלתי חוקיים - על חשבון משלם המיסים הישראלי. https://t.co/gruvfawy2c,Feb-21,Likud,"?economy, ?immigration, ?media",,,Haredi religious minority restrictions
bezalelsm,01/03/2021,"הנה עוד תזכורת למי שמנסה לשכנע אותנו שממשלה עם השמאל זה לא נורא אם ראשות הממשלה בימין. תראו כמה נזקים גרמה השליטה של ניסנקורן במשרד המשפטים לזהות היהודית של המדינה, לערכי המשפחה, למשילות, ועוד. מי שבמקום להצטרף לממשלת ימין מקים ממשלה עם השמאל גונב את קולות הימין ומעביר אותם לשמאל https://t.co/45KwxTqpsu",Mar-21,Religious Zionism,identity,"משרד המשפטים יוזם שינוי בחוק ברית הזוגיות כך שמרשם הזוגיות יפתח לכלל תושבי ישראל ואף יוכלו להרשם בו גם בני זוג מאותו המין. עד היום נועד המרשם רק לבני זוג חסרי דת, איש ואישה, ומעתה תבוטל המגבלה הזו. בתזכיר חוק נכתב כי מוסד ברית הזוגיות יתקיים לצד מוסד הנישואין.",Landmark 6-3 ruling; massive right-wing backlash on Jewish identity,HCJ landmark decision: Reform/Conservative conversions recognized
YoavKisch,01/03/2021,"התערבות בוטה של בג""ץ במלחמה בנגיף. החל מ14.3 ביטול למעשה של שימוש ביכולות השבכ לאתר חולים.  עד היום הצלנו יותר מ500 מאות חיים של ישראלים בזכות היכולת של השבכ. ב14.3 בגלל בג""ץ זה יגמר. לדעתי זהו פשע נגד בריאות אזרחי ישראל. נשאר רק לברך על הישג החיסונים האדיר שאולי ייתר את הצורך.",Mar-21,Likud,"judicial, security",HCJ rules Reform/Conservative conversions valid for Law of Return,Landmark 6-3 ruling; massive right-wing backlash on Jewish identity,HCJ landmark decision: Reform/Conservative conversions recognized
OsnathilaMark,01/03/2021,"בג""צ כבר דרס עד דק את ישראל הדמוקרטית. היום הוא התחיל את מסע הדריסה של ישראל היהודית.  לא נאפשר לו.",Mar-21,Likud,"judicial, identity","In a 6-3 decision, the court ruled that non-Orthodox conversions to Judaism—specifically those performed by Reform and Conservative movements within Israel—must be recognized by the state for the purpose of granting citizenship under the Law of Return. T",Landmark 6-3 ruling; massive right-wing backlash on Jewish identity,HCJ landmark decision: Reform/Conservative conversions recognized
ofir_sofer,01/03/2021,בג''ץ שוב בוחר להתערב בהחלטות שצריכות להתקבל על ידי נבחרי הציבור בלבד ומסכן באופן מובהק את זהותה היהודית של מדינת ישראל. בג''ץ בהחלטתו מביא לסכנה של ממש לזהות היהודית ולרוב היהודי במדינה ולכן הדבר הראשון שיש לתקן בהקמת ממשלת ימין זה העברת חוק גיור ממלכתי לצד העברת פסקת ההתגברות.,Mar-21,Religious Zionism,"judicial, identity","In a 6-3 decision, the court ruled that non-Orthodox conversions to Judaism—specifically those performed by Reform and Conservative movements within Israel—must be recognized by the state for the purpose of granting citizenship under the Law of Return. T",Landmark 6-3 ruling; massive right-wing backlash on Jewish identity,HCJ landmark decision: Reform/Conservative conversions recognized
zoharm7,01/03/2021,"החלטת בג״ץ שערורייתית, היא עוד תביא עלינו אסון!  כל אדם ברחבי העולם, ייגש לרב רפומי ויקבל אישור לעלות ארצה בתוך 30 ימים. ברור שבתוך זמן קצר, ישראל כבר לא תהיה יהודית ודמוקרטית. היום יותר מתמיד הציבור חייב להכריע מי ינהל את המדינה, אנחנו או בג״ץ.  מפתיע שלפיד מוחא כפיים על ההחלטה?",Mar-21,Likud,"judicial, identity","In a 6-3 decision, the court ruled that non-Orthodox conversions to Judaism—specifically those performed by Reform and Conservative movements within Israel—must be recognized by the state for the purpose of granting citizenship under the Law of Return. T",Landmark 6-3 ruling; massive right-wing backlash on Jewish identity,HCJ landmark decision: Reform/Conservative conversions recognized
GolanMay,01/03/2021,מדינת ישראל על פי שופטי בג״צ; 'מסתנן בלתי חוקי יעבור גיור רפורמי בעשר דק׳ ויקבל אזרחות ישראלית..' תסריט הבלהות הזה יכול להתקיים הלכה למעשה אם לא תוקם כאן לאחר הבחירות ממשלה של המחנה הלאומי שתשים סוף לרודנות המשפטית שבכל מאודה רוצה לחסל כל סממן יהודי ולהפוך אותנו למדינת כל אזרחיה.,Mar-21,Likud,"judicial, identity","In a 6-3 decision, the court ruled that non-Orthodox conversions to Judaism—specifically those performed by Reform and Conservative movements within Israel—must be recognized by the state for the purpose of granting citizenship under the Law of Return. T",Landmark 6-3 ruling; massive right-wing backlash on Jewish identity,HCJ landmark decision: Reform/Conservative conversions recognized
bezalelsm,02/03/2021,"תודה רבה בעז. אנחנו מחויבים לזהות היהודית של המדינה ולתיקונים הקריטים במערכת המשפט שלא מפסיקה לפגוע בה. לאף איש ימין שהזהות היהודית חשובה לו אסור לתת את קולו למי שבמקום להקים ממשלה של המחנה הלאומי הולך להקים ממשלה עם השמאל של לפיד, מרב מיכאלי וגלעד קריב (שהגיש את העתירה הזו). https://t.co/Ebna40Q0Kt",Mar-21,Religious Zionism,"judicial, identity","In a 6-3 decision, the court ruled that non-Orthodox conversions to Judaism—specifically those performed by Reform and Conservative movements within Israel—must be recognized by the state for the purpose of granting citizenship under the Law of Return. T",Continued mobilization around Jewish identity threat,Continued backlash on conversion ruling (Jewish identity)
ettyatia,02/03/2021,"שופטי בג""ץ מכניסים את מדינת ישראל לסחרור מסוכן, וללא כל סמכות.  גיור רפורמי יהפוך בקלות לגיור המוני של אנשים שאין בינם לבין יהדות דבר- רק לשם קבלת האזרחות הישראלית.  הבחירה בליכוד, היא הבחירה היחידה שתוכל להתמודד עם מערכת משפט אקטיביסטית שחותרת תחת רצון העם. https://t.co/9UfTxnfI17",Mar-21,Likud,"judicial, identity","In a 6-3 decision, the court ruled that non-Orthodox conversions to Judaism—specifically those performed by Reform and Conservative movements within Israel—must be recognized by the state for the purpose of granting citizenship under the Law of Return. T",Continued mobilization around Jewish identity threat,Continued backlash on conversion ruling (Jewish identity)
